Database ID,_166_1,_166_2,_181_1,_181_2,_182_1,_182_2,_207_1,_207_2,Reef,Region,Species,Final Clonal ID,Tube ID,Sample ID,,,,,,,,,,,
15480,146,146,159,165,143,161,158,176,Los Corchos,PuertoRico,Acropora cervicornis, C1740 ,PR269,V69,,,,,,,,,,,
15481,143,143,174,174,155,158,158,170,Los Corchos,PuertoRico,Acropora cervicornis, C1707 ,PR270,V70,,,,,,,,,,,
15776,146,146,159,165,143,161,158,176,Los Corchos,PuertoRico,Acropora cervicornis, C1740 ,AG047,V71,,,,,,,,,,,
15482,140,146,174,183,155,167,158,173,Los Corchos,PuertoRico,Acropora cervicornis, C1694 ,PR272,V72,,,,,,,,,,,
15483,143,146,159,168,158,185,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1718 ,PR273,V73,,,,,,,,,,,
15484,146,146,159,174,143,143,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1743 ,PR274,V74,,,,,,,,,,,
15485,146,161,162,180,149,167,158,161,Los Corchos,PuertoRico,Acropora cervicornis, C1751 ,PR275,V75,,,,,,,,,,,
15486,143,143,,,158,158,158,161,Los Corchos,PuertoRico,Acropora cervicornis,,PR276,V76,,,,,,,,,,,
15487,,,,,143,161,,,Los Corchos,PuertoRico,Acropora cervicornis,,PR277,V77,,,,,,,,,,,
15821,143,143,159,168,158,158,158,161,Los Corchos,PuertoRico,Acropora cervicornis, C1696 ,AG092,V78,,,,,,,,,,,
15489,143,146,162,168,161,161,158,161,Los Corchos,PuertoRico,Acropora cervicornis, C1723 ,PR279,V79,,,,,,,,,,,
15490,143,146,159,159,158,167,,,Los Corchos,PuertoRico,Acropora cervicornis,,PR280,V80,,,,,,,,,,,
15491,143,143,159,168,158,158,158,161,Los Corchos,PuertoRico,Acropora cervicornis, C1696 ,PR281,V81,,,,,,,,,,,
15492,146,149,159,174,161,188,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1750 ,PR282,V82,,,,,,,,,,,
15493,143,146,159,180,155,176,158,161,Los Corchos,PuertoRico,Acropora cervicornis, C1721 ,PR283,V83,,,,,,,,,,,
15818,140,146,165,174,143,158,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1755 ,AG089,V84,,,,,,,,,,,
15495,,,,,158,158,158,161,Los Corchos,PuertoRico,Acropora cervicornis,,PR285,V85,,,,,,,,,,,
15496,128,143,159,180,161,185,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1681 ,PR286,V86,,,,,,,,,,,
15497,146,149,,,161,188,158,158,Los Corchos,PuertoRico,Acropora cervicornis,,PR287,V87,,,,,,,,,,,
15498,,,,,158,158,158,161,Los Corchos,PuertoRico,Acropora cervicornis,,PR288,V88,,,,,,,,,,,
15499,143,143,,,158,158,158,161,Los Corchos,PuertoRico,Acropora cervicornis,,PR289,V89,,,,,,,,,,,
15500,143,143,,,158,158,158,161,Los Corchos,PuertoRico,Acropora cervicornis,,PR290,V90,,,,,,,,,,,
15501,,,,,155,161,158,161,Luis Pena,PuertoRico,Acropora cervicornis,,PR291,V91,,,,,,,,,,,
15502,,,,,155,161,158,158,Luis Pena,PuertoRico,Acropora cervicornis,,PR292,V92,,,,,,,,,,,
15503,143,146,159,159,164,185,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1715 ,PR293,V93,,,,,,,,,,,
15504,143,146,159,162,158,185,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1716 ,PR294,V94,,,,,,,,,,,
15807,146,146,159,159,164,164,158,158,Luis Pena,PuertoRico,Acropora cervicornis, C1757 ,AG078,V95,,,,,,,,,,,
15506,143,146,,,158,185,158,161,Luis Pena,PuertoRico,Acropora cervicornis,,PR296,V96,,,,,,,,,,,
15740,143,146,159,162,158,185,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1716 ,AG011,V97,,,,,,,,,,,
15508,,,,,,,158,161,Luis Pena,PuertoRico,Acropora cervicornis,,PR298,V98,,,,,,,,,,,
15840,140,146,159,162,161,185,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1756 ,AG111,V99,,,,,,,,,,,
15510,,,,,,,,,Luis Pena,PuertoRico,Acropora cervicornis,,PR300,V100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
